X1	Y1	ProbId1	X2	Y2	ProbId2	X3	Y3	ProbId3	X4	Y4	ProbId4	X5	Y5	ProbId5	
281	160	NaN	323	160.5	NaN	392.5	166.5	NaN	1334.5	991.34	NaN	1066.5	990.5	NaN
281	160	NaN	322	161.5	NaN	393	166.5	NaN	1346.9	993.73	NaN	1075.5	989.5	NaN
281	160	NaN	321	162.5	NaN	393	167	NaN	1359.2	995.94	NaN	1084.5	989	NaN
281	161	NaN	320	163.5	NaN	393.5	167	NaN	1371.5	998.05	NaN	1093.5	988	NaN
281	161	NaN	319	164.5	NaN	393.5	167	NaN	1383.8	1000.3	NaN	1102.5	987.5	NaN
281	161	NaN	318	165.5	NaN	393.5	167.5	NaN	1396.2	1002.4	NaN	1111.5	986.5	NaN
281	162	NaN	317.5	166.5	NaN	393.5	167.5	NaN	1408.6	1004.6	NaN	1120	985.5	NaN
281	162	NaN	316.54	167.54	NaN	394	167.5	NaN	1421	1006.9	NaN	1128.5	984.5	NaN
281	162	NaN	316	168.5	NaN	394	167.5	NaN	1433.2	1009	NaN	1137.5	984.5	NaN
281	163	NaN	315.5	170	NaN	394	168	NaN	1445.5	1011.3	NaN	1146.5	983.5	NaN
281	163	NaN	315.5	171.5	NaN	394.5	168	NaN	1457.9	1013.6	NaN	1155.5	983.5	NaN
281	163	NaN	315	172.5	NaN	394.5	168	NaN	1470.2	1015.9	NaN	1164.5	983.5	NaN
281	164	NaN	315	174	NaN	394.5	168	NaN	1482.5	1018.2	NaN	1173.5	983	NaN
281	164	NaN	315	175.5	NaN	394.5	168.5	NaN	1494.8	1020.7	NaN	1182.5	983.5	NaN
281	164	NaN	315	177.5	NaN	395	168.5	NaN	1504.6	1022.8	NaN	1191.5	983.5	NaN
281	165	NaN	315	179.5	NaN	395	168.5	NaN	1514.5	1025.2	NaN	1200.5	984	NaN
281	165	NaN	315	181.5	NaN	395	168.5	NaN	1524.1	1027.9	NaN	1209	984.5	NaN
281	165	NaN	315	183.5	NaN	395.5	169	NaN	1533.9	1030.7	NaN	1218	985.5	NaN
281	166	NaN	315	185.5	NaN	395.5	169	NaN	1543.4	1033.4	NaN	1226.5	986.5	NaN
281	166	NaN	315.5	187.5	NaN	395.5	169	NaN	1553	1036.3	NaN	1235.5	988.5	NaN
280.96	165.99	NaN	315.5	189.5	NaN	395.61	169.4	NaN	1562.7	1039.1	NaN	1247	990.5	NaN
280.5	167	NaN	316	191	NaN	396	169.5	NaN	1572.4	1042	NaN	1258.5	992.5	NaN
280.5	167	NaN	316	192.5	NaN	396	169.5	NaN	1582.1	1044.8	NaN	1269.5	995	NaN
280.5	167	NaN	316	194.5	NaN	396.33	169.38	NaN	1591.8	1047.4	NaN	1281	997.5	NaN
280.5	168	NaN	316.5	196.5	NaN	396.44	169.56	NaN	1601.6	1049.7	NaN	1292.5	1000.5	NaN
