X1	Y1	ProbId1	X2	Y2	ProbId2	X3	Y3	ProbId3	X4	Y4	ProbId4	X5	Y5	ProbId5	
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	364.6	775.59	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	342.75	1013	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	352.52	1016.4	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	250.57	955.89	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	331.1	871.86	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	323.86	869.16	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	331.21	871.41	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	334.08	869.35	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	325.67	875.72	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	325.16	879	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	325.22	878.99	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	325.07	879.42	NaN	NaN	NaN	NaN
311.02	97.432	NaN	NaN	NaN	NaN	NaN	NaN	NaN	321.05	888.16	NaN	NaN	NaN	NaN
311.3	98.589	NaN	NaN	NaN	NaN	NaN	NaN	NaN	321.04	885.82	NaN	NaN	NaN	NaN
311.39	98.038	NaN	NaN	NaN	NaN	NaN	NaN	NaN	307.94	915.2	NaN	NaN	NaN	NaN
311.38	96.281	NaN	NaN	NaN	NaN	NaN	NaN	NaN	309	919.49	NaN	NaN	NaN	NaN
312.18	97.036	NaN	NaN	NaN	NaN	NaN	NaN	NaN	321.5	875.95	NaN	NaN	NaN	NaN
311.87	91.885	NaN	NaN	NaN	NaN	NaN	NaN	NaN	315.5	875.26	NaN	NaN	NaN	NaN
312.02	90.472	NaN	NaN	NaN	NaN	NaN	NaN	NaN	315.97	872.99	NaN	NaN	NaN	NaN
314.97	99.693	NaN	NaN	NaN	NaN	NaN	NaN	NaN	311.68	874.96	NaN	NaN	NaN	NaN
314.04	91.412	NaN	NaN	NaN	NaN	NaN	NaN	NaN	313.83	869.03	NaN	NaN	NaN	NaN
315.03	92.166	NaN	NaN	NaN	NaN	NaN	NaN	NaN	311.89	870.49	NaN	NaN	NaN	NaN
314.91	94.012	NaN	NaN	NaN	NaN	NaN	NaN	NaN	309.99	868.56	NaN	NaN	NaN	NaN
314.93	94.035	NaN	NaN	NaN	NaN	NaN	NaN	NaN	309.99	868.58	NaN	NaN	NaN	NaN
315.59	98.714	NaN	NaN	NaN	NaN	NaN	NaN	NaN	304.76	869.55	NaN	NaN	NaN	NaN
317.97	102.51	NaN	NaN	NaN	NaN	NaN	NaN	NaN	305.68	873.79	NaN	NaN	NaN	NaN
317.77	101.2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	305.6	870.35	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
315.69	97.007	NaN	NaN	NaN	NaN	271.17	107.13	NaN	333.87	919.97	NaN	NaN	NaN	NaN
316.13	98.795	NaN	NaN	NaN	NaN	271.17	107.13	NaN	333.88	919.96	NaN	NaN	NaN	NaN
316.87	102.95	NaN	NaN	NaN	NaN	269.34	103.61	NaN	332.65	917.35	NaN	NaN	NaN	NaN
319.68	127.6	NaN	NaN	NaN	NaN	265.93	103.57	NaN	332.4	918.34	NaN	NaN	NaN	NaN
321.36	133.39	NaN	NaN	NaN	NaN	266.9	101.21	NaN	332.96	918.73	NaN	NaN	NaN	NaN
320.83	134.47	NaN	NaN	NaN	NaN	267.01	106.96	NaN	332.76	917.53	NaN	NaN	NaN	NaN
320.83	134.47	NaN	NaN	NaN	NaN	267.05	106.85	NaN	332.74	917.45	NaN	NaN	NaN	NaN
322.79	142.85	NaN	NaN	NaN	NaN	270.56	105.42	NaN	332.47	918.75	NaN	NaN	NaN	NaN
321.1	139.03	NaN	NaN	NaN	NaN	272.82	105.21	NaN	332.62	919.46	NaN	NaN	NaN	NaN
321.13	137.38	NaN	NaN	NaN	NaN	281.28	101.74	NaN	333.29	920.6	NaN	NaN	NaN	NaN
320.86	137.88	NaN	NaN	NaN	NaN	287.98	99.255	NaN	333.5	922.29	NaN	NaN	NaN	NaN
320.49	135.67	NaN	NaN	NaN	NaN	292.83	97.489	NaN	333.51	921.96	NaN	NaN	NaN	NaN
320.5	136.26	NaN	NaN	NaN	NaN	291.17	96.813	NaN	333.8	921.95	NaN	NaN	NaN	NaN
321.12	138.48	NaN	NaN	NaN	NaN	288.48	95.954	NaN	332.84	922.48	NaN	NaN	NaN	NaN
321.2	137.68	NaN	NaN	NaN	NaN	292.76	95.095	NaN	332.51	918.2	NaN	NaN	NaN	NaN
320.1	134.68	NaN	NaN	NaN	NaN	298.23	91.321	NaN	332.78	918.03	NaN	NaN	NaN	NaN
319.49	131.85	NaN	NaN	NaN	NaN	301.29	87.2	NaN	334.95	922.89	NaN	NaN	NaN	NaN
319.69	132.02	NaN	NaN	NaN	NaN	310.76	83.555	NaN	333.37	920.4	NaN	NaN	NaN	NaN
320.46	132.38	NaN	NaN	NaN	NaN	305.54	63.832	NaN	342.82	929.63	NaN	NaN	NaN	NaN
320.46	132.38	NaN	NaN	NaN	NaN	305.54	63.832	NaN	343.63	930.98	NaN	NaN	NaN	NaN
321.01	135.75	NaN	417.4	834.23	NaN	309.11	49.509	NaN	344.21	938.93	NaN	293.01	82.106	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	341.98	933.93	NaN	NaN	NaN	NaN
364.77	989.31	NaN	NaN	NaN	NaN	308.64	48.969	NaN	NaN	NaN	NaN	310.03	833.64	NaN
360.56	986.43	NaN	NaN	NaN	NaN	NaN	NaN	NaN	308.46	50.646	NaN	309.41	836.82	NaN
355.77	980.73	NaN	309.58	49.489	NaN	394.27	779.86	NaN	318.01	78.671	NaN	308.98	839.13	NaN
351.82	977.34	NaN	309.29	50.178	NaN	NaN	NaN	NaN	NaN	NaN	NaN	307.85	841.57	NaN
319.21	124.57	NaN	309.51	51.157	NaN	288.16	921.81	NaN	389.21	774.35	NaN	308.44	842.94	NaN
318.78	125.08	NaN	309.43	52.184	NaN	290.23	925.31	NaN	384.58	774.8	NaN	309.32	842.57	NaN
317.55	119.48	NaN	309.34	52.768	NaN	317.11	948.26	NaN	380.01	777.26	NaN	302.84	847.06	NaN
320.09	130.43	NaN	309.34	56.661	NaN	316.25	944.69	NaN	379.27	779.9	NaN	302.18	846.59	NaN
322.42	141.17	NaN	308.61	62.078	NaN	286.55	921.17	NaN	374.78	786.49	NaN	304.65	841.08	NaN
322.42	141.17	NaN	308.61	62.078	NaN	286.55	921.17	NaN	374.78	786.49	NaN	304.65	841.08	NaN
323.5	145.01	NaN	308.24	62.802	NaN	320.56	950.4	NaN	372.02	787.66	NaN	305.36	837.93	NaN
322.84	140.13	NaN	309.53	62.857	NaN	312.27	940.66	NaN	358.43	788.2	NaN	303.44	842.72	NaN
322.63	143.76	NaN	309.5	59.767	NaN	315.28	946.56	NaN	373.39	169.59	NaN	301.99	841.56	NaN
322.1	142.74	NaN	309.5	53.659	NaN	327.41	962.27	NaN	372	182.84	NaN	307.12	833.88	NaN
321.89	143.07	NaN	310.58	58.881	NaN	315.42	954.91	NaN	NaN	NaN	NaN	312.07	826.81	NaN
